show,episode,season,country,channel,date,link
4 Estrellas,110,1,Espagne,TVE,01-11-2023,episode110-411772-01112023-saison1-4-Estrellas.html
Black Cake,1,1,Etats-Unis,Hulu,01-11-2023,episode01-410147-01112023-saison1-Black-Cake.html
Black Cake,2,1,Etats-Unis,Hulu,01-11-2023,episode02-410148-01112023-saison1-Black-Cake.html
Black Cake,3,1,Etats-Unis,Hulu,01-11-2023,episode03-410149-01112023-saison1-Black-Cake.html
Blanca,5,2,Italie,Rai 1,01-11-2023,episode05-411693-01112023-saison2-Blanca.html
Children Ruin Everything,6,3,Canada,CTV,01-11-2023,episode06-411350-01112023-saison3-Children-Ruin-Everything.html
Chucky,5,3,Etats-Unis,Syfy,01-11-2023,episode05-409118-01112023-saison3-Chucky.html
Cooper's Bar,5,2,Etats-Unis,AMC,01-11-2023,episode05-411065-01112023-saison2-Cooper-s-Bar.html
Demain nous appartient,53,7,France,TF1,01-11-2023,episode53-411593-01112023-saison7-Demain-nous-appartient.html
Hotel Mondial,5,2,Allemagne,ZDF,01-11-2023,episode05-411891-01112023-saison2-Hotel-Mondial.html
Hudson & Rex,5,6,Canada,Citytv,01-11-2023,episode05-411635-01112023-saison6-Hudson--Rex.html
I Leoni di Sicilia,5,1,Etats-Unis,Disney+,01-11-2023,episode05-411338-01112023-saison1-I-Leoni-di-Sicilia.html
I Leoni di Sicilia,6,1,Etats-Unis,Disney+,01-11-2023,episode06-411339-01112023-saison1-I-Leoni-di-Sicilia.html
I Leoni di Sicilia,7,1,Etats-Unis,Disney+,01-11-2023,episode07-411340-01112023-saison1-I-Leoni-di-Sicilia.html
I Leoni di Sicilia,8,1,Etats-Unis,Disney+,01-11-2023,episode08-411341-01112023-saison1-I-Leoni-di-Sicilia.html
Ici tout commence,48,4,France,TF1,01-11-2023,episode48-411578-01112023-saison4-Ici-tout-commence.html
Inspirez expirez,4,1,Canada,CraveTV,01-11-2023,episode04-411698-01112023-saison1-Inspirez-expirez.html
Inspirez expirez,5,1,Canada,CraveTV,01-11-2023,episode05-411699-01112023-saison1-Inspirez-expirez.html
Magnum P.I. (2018),15,5,Etats-Unis,NBC,01-11-2023,episode15-410787-01112023-saison5-Magnum-PI-(2018).html
Quantum Leap (2022),5,2,Etats-Unis,NBC,01-11-2023,episode05-410596-01112023-saison2-Quantum-Leap-(2022).html
Robyn Hood,6,1,Canada,Global,01-11-2023,episode06-411297-01112023-saison1-Robyn-Hood.html
Shetland,1,8,Royaume-Uni,BBC One,01-11-2023,episode01-411316-01112023-saison8-Shetland.html
Sistas,14,6,Etats-Unis,BET,01-11-2023,episode14-411347-01112023-saison6-Sistas.html
SurrealEstate,5,2,Etats-Unis,Syfy,01-11-2023,episode05-410888-01112023-saison2-SurrealEstate.html
The Morning Show,9,3,Etats-Unis,Apple TV+,01-11-2023,episode09-407704-01112023-saison3-The-Morning-Show.html
Un Si Grand Soleil,42,6,France,France 2,01-11-2023,episode42-411607-01112023-saison6-Un-Si-Grand-Soleil.html
Young Dylan,9,4,Etats-Unis,Nickelodeon,01-11-2023,episode09-411284-01112023-saison4-Young-Dylan.html
4 Estrellas,111,1,Espagne,TVE,02-11-2023,episode111-411773-02112023-saison1-4-Estrellas.html
All Creatures Great and Small (2020),5,4,Royaume-Uni,Channel 5,02-11-2023,episode05-411160-02112023-saison4-All-Creatures-Great-and-Small-(2020).html
All the Light We Cannot See,1,1,Etats-Unis,Netflix,02-11-2023,episode01-404459-02112023-saison1-All-the-Light-We-Cannot-See.html
All the Light We Cannot See,2,1,Etats-Unis,Netflix,02-11-2023,episode02-404460-02112023-saison1-All-the-Light-We-Cannot-See.html
All the Light We Cannot See,3,1,Etats-Unis,Netflix,02-11-2023,episode03-404461-02112023-saison1-All-the-Light-We-Cannot-See.html
All the Light We Cannot See,4,1,Etats-Unis,Netflix,02-11-2023,episode04-404462-02112023-saison1-All-the-Light-We-Cannot-See.html
À La Carte,8,2,Etats-Unis,ALLBLK,02-11-2023,episode08-410521-02112023-saison2-A-La-Carte.html
Demain nous appartient,54,7,France,TF1,02-11-2023,episode54-411594-02112023-saison7-Demain-nous-appartient.html
Doom Patrol,11,4,Etats-Unis,HBO Max,02-11-2023,episode11-410008-02112023-saison4-Doom-Patrol.html
Frasier (2023),5,1,Etats-Unis,Paramount+,02-11-2023,episode05-409727-02112023-saison1-Frasier-(2023).html
Gadis Kretek,1,1,Etats-Unis,Netflix,02-11-2023,episode01-409077-02112023-saison1-Gadis-Kretek.html
Gadis Kretek,2,1,Etats-Unis,Netflix,02-11-2023,episode02-411842-02112023-saison1-Gadis-Kretek.html
Gadis Kretek,3,1,Etats-Unis,Netflix,02-11-2023,episode03-411843-02112023-saison1-Gadis-Kretek.html
Gadis Kretek,4,1,Etats-Unis,Netflix,02-11-2023,episode04-411844-02112023-saison1-Gadis-Kretek.html
Gadis Kretek,5,1,Etats-Unis,Netflix,02-11-2023,episode05-411845-02112023-saison1-Gadis-Kretek.html
Ici tout commence,49,4,France,TF1,02-11-2023,episode49-411579-02112023-saison4-Ici-tout-commence.html
Kingdom Business,1,2,Etats-Unis,BET+,02-11-2023,episode01-411099-02112023-saison2-Kingdom-Business.html
La Mesias,5,1,Espagne,Moviestar+,02-11-2023,episode05-410547-02112023-saison1-La-Mesias.html
Loki,5,2,Etats-Unis,Disney+,02-11-2023,episode05-410905-02112023-saison2-Loki.html
LT-21,7,1,France,OCS,02-11-2023,episode07-408968-02112023-saison1-LT-21.html
LT-21,8,1,France,OCS,02-11-2023,episode08-408969-02112023-saison1-LT-21.html
Star Trek: Lower Decks,10,4,Etats-Unis,Paramount+,02-11-2023,episode10-409764-02112023-saison4-Star-Trek-Lower-Decks.html
The Vanishing Triangle,3,1,Etats-Unis,SundanceTV,02-11-2023,episode03-410195-02112023-saison1-The-Vanishing-Triangle.html
Un Si Grand Soleil,43,6,France,France 2,02-11-2023,episode43-411608-02112023-saison6-Un-Si-Grand-Soleil.html
All Rise,18,3,Etats-Unis,OWN,04-11-2023,episode18-411548-04112023-saison3-All-Rise.html
Boomer,10,1,Belgique,Één,04-11-2023,episode10-409831-04112023-saison1-Boomer.html
Billy the Kid,4,2,Etats-Unis,Epix,05-11-2023,episode04-409590-05112023-saison2-Billy-the-Kid.html
Bob's Burgers,5,14,Etats-Unis,Fox,05-11-2023,episode05-411285-05112023-saison14-Bob-s-Burgers.html
